2020-06-03;12:27:25.252;2
2020-06-05;19:58:55.400;2
2020-06-05;21:03:47.864;2
2020-06-05;21:03:50.577;2
2020-06-05;21:03:56.568;2
2020-06-05;21:03:59.004;3
2020-06-05;21:03:59.576;2
2020-06-05;21:04:02.569;2
2020-06-05;21:04:04.984;3
2020-06-05;21:04:07.970;2
2020-06-05;21:04:08.574;3
2020-06-05;21:04:11.579;2
2020-06-05;21:04:13.975;3
2020-06-05;21:15:55.192;2
2020-06-05;21:15:58.168;2
2020-06-05;21:15:58.270;2
2020-06-05;21:16:01.274;2
2020-06-05;21:16:04.174;2
2020-06-05;21:16:07.185;3
2020-06-05;21:16:07.271;3
2020-06-06;23:46:45.162;3
2020-06-06;23:46:48.162;3
2020-06-06;23:46:54.164;2
2020-06-06;23:46:57.167;2
2020-06-06;23:47:03.166;2
2020-06-06;23:47:06.167;2
